model,threshold,precision,recall,f1,tp,fp,fn,tn
qwen3-embedding_latest,0.6,0.8811,1.0,0.9368,2475,334,0,1666
qwen3-embedding_latest,0.61,0.8958,1.0,0.945,2475,288,0,1712
qwen3-embedding_latest,0.62,0.9086,1.0,0.9521,2475,249,0,1751
qwen3-embedding_latest,0.63,0.9201,1.0,0.9584,2475,215,0,1785
qwen3-embedding_latest,0.64,0.9322,1.0,0.9649,2475,180,0,1820
qwen3-embedding_latest,0.65,0.9389,1.0,0.9685,2475,161,0,1839
qwen3-embedding_latest,0.66,0.9494,1.0,0.974,2475,132,0,1868
qwen3-embedding_latest,0.67,0.9574,0.9996,0.9781,2474,110,1,1890
qwen3-embedding_latest,0.68,0.9638,0.9992,0.9812,2473,93,2,1907
qwen3-embedding_latest,0.69,0.9713,0.9992,0.9851,2473,73,2,1927
qwen3-embedding_latest,0.7,0.9752,0.9992,0.987,2473,63,2,1937
qwen3-embedding_latest,0.71,0.9806,0.9992,0.9898,2473,49,2,1951
qwen3-embedding_latest,0.72,0.9825,0.998,0.9902,2470,44,5,1956
qwen3-embedding_latest,0.73,0.9856,0.9956,0.9906,2464,36,11,1964
qwen3-embedding_latest,0.74,0.9875,0.9931,0.9903,2458,31,17,1969
qwen3-embedding_latest,0.75,0.9895,0.9907,0.9901,2452,26,23,1974
qwen3-embedding_latest,0.76,0.9919,0.9871,0.9895,2443,20,32,1980
qwen3-embedding_latest,0.77,0.9918,0.983,0.9874,2433,20,42,1980
qwen3-embedding_latest,0.78,0.9926,0.9814,0.987,2429,18,46,1982
qwen3-embedding_latest,0.79,0.9934,0.9774,0.9853,2419,16,56,1984
qwen3-embedding_latest,0.8,0.9942,0.9681,0.981,2396,14,79,1986
qwen3-embedding_latest,0.81,0.995,0.9568,0.9755,2368,12,107,1988
qwen3-embedding_latest,0.82,0.9962,0.943,0.9689,2334,9,141,1991
qwen3-embedding_latest,0.83,0.9965,0.9277,0.9609,2296,8,179,1992
qwen3-embedding_latest,0.84,0.9973,0.9055,0.9492,2241,6,234,1994
qwen3-embedding_latest,0.85,0.9982,0.8731,0.9315,2161,4,314,1996
qwen3-embedding_latest,0.86,0.9985,0.8339,0.9089,2064,3,411,1997
qwen3-embedding_latest,0.87,0.999,0.7798,0.8759,1930,2,545,1998
qwen3-embedding_latest,0.88,0.9989,0.724,0.8395,1792,2,683,1998
qwen3-embedding_latest,0.89,0.9994,0.657,0.7928,1626,1,849,1999
qwen3-embedding_latest,0.9,0.9993,0.5737,0.729,1420,1,1055,1999
qwen3-embedding_latest,0.91,0.9992,0.4848,0.6529,1200,1,1275,1999
qwen3-embedding_latest,0.92,0.999,0.3871,0.5579,958,1,1517,1999
qwen3-embedding_latest,0.93,0.9986,0.2889,0.4481,715,1,1760,1999
qwen3-embedding_latest,0.94,0.998,0.2032,0.3377,503,1,1972,1999
qwen3-embedding_latest,0.95,0.9966,0.1188,0.2123,294,1,2181,1999
qwen3-embedding_latest,0.96,1.0,0.0554,0.1049,137,0,2338,2000
