model,threshold,precision,recall,f1,tp,fp,fn,tn
qwen3-embedding_latest,0.54,0.7239,1.0,0.8398,2475,944,0,1056
qwen3-embedding_latest,0.55,0.7502,1.0,0.8573,2475,824,0,1176
qwen3-embedding_latest,0.56,0.7759,1.0,0.8738,2475,715,0,1285
qwen3-embedding_latest,0.57,0.802,1.0,0.8901,2475,611,0,1389
qwen3-embedding_latest,0.58,0.8231,1.0,0.903,2475,532,0,1468
qwen3-embedding_latest,0.59,0.8433,1.0,0.915,2475,460,0,1540
qwen3-embedding_latest,0.6,0.8612,1.0,0.9254,2475,399,0,1601
qwen3-embedding_latest,0.61,0.8808,1.0,0.9366,2475,335,0,1665
qwen3-embedding_latest,0.62,0.8987,1.0,0.9466,2475,279,0,1721
qwen3-embedding_latest,0.63,0.9119,1.0,0.9539,2475,239,0,1761
qwen3-embedding_latest,0.64,0.9235,1.0,0.9602,2475,205,0,1795
qwen3-embedding_latest,0.65,0.9343,1.0,0.966,2475,174,0,1826
qwen3-embedding_latest,0.66,0.9457,1.0,0.9721,2475,142,0,1858
qwen3-embedding_latest,0.67,0.9534,0.9996,0.9759,2474,121,1,1879
qwen3-embedding_latest,0.68,0.9608,0.9992,0.9796,2473,101,2,1899
qwen3-embedding_latest,0.69,0.9675,0.9992,0.9831,2473,83,2,1917
qwen3-embedding_latest,0.7,0.9713,0.9992,0.9851,2473,73,2,1927
qwen3-embedding_latest,0.71,0.9771,0.9992,0.988,2473,58,2,1942
qwen3-embedding_latest,0.72,0.9794,0.998,0.9886,2470,52,5,1948
qwen3-embedding_latest,0.73,0.9836,0.996,0.9898,2465,41,10,1959
qwen3-embedding_latest,0.74,0.9868,0.9931,0.9899,2458,33,17,1967
qwen3-embedding_latest,0.75,0.9887,0.9911,0.9899,2453,28,22,1972
qwen3-embedding_latest,0.76,0.9899,0.9875,0.9887,2444,25,31,1975
qwen3-embedding_latest,0.77,0.9906,0.9838,0.9872,2435,23,40,1977
qwen3-embedding_latest,0.78,0.9918,0.9818,0.9868,2430,20,45,1980
qwen3-embedding_latest,0.79,0.9938,0.9766,0.9851,2417,15,58,1985
qwen3-embedding_latest,0.8,0.9946,0.9701,0.9822,2401,13,74,1987
qwen3-embedding_latest,0.81,0.9958,0.9572,0.9761,2369,10,106,1990
qwen3-embedding_latest,0.82,0.9957,0.943,0.9687,2334,10,141,1990
qwen3-embedding_latest,0.83,0.9961,0.9289,0.9613,2299,9,176,1991
qwen3-embedding_latest,0.84,0.9969,0.9055,0.949,2241,7,234,1993
qwen3-embedding_latest,0.85,0.9982,0.8747,0.9324,2165,4,310,1996
qwen3-embedding_latest,0.86,0.999,0.8319,0.9078,2059,2,416,1998
qwen3-embedding_latest,0.87,1.0,0.7822,0.8778,1936,0,539,2000
qwen3-embedding_latest,0.88,1.0,0.7285,0.8429,1803,0,672,2000
qwen3-embedding_latest,0.89,1.0,0.661,0.7959,1636,0,839,2000
qwen3-embedding_latest,0.9,1.0,0.5863,0.7392,1451,0,1024,2000
qwen3-embedding_latest,0.91,1.0,0.4917,0.6593,1217,0,1258,2000
qwen3-embedding_latest,0.92,1.0,0.3883,0.5594,961,0,1514,2000
qwen3-embedding_latest,0.93,1.0,0.2913,0.4512,721,0,1754,2000
qwen3-embedding_latest,0.94,1.0,0.2028,0.3373,502,0,1973,2000
qwen3-embedding_latest,0.95,1.0,0.1204,0.2149,298,0,2177,2000
qwen3-embedding_latest,0.96,1.0,0.0554,0.1049,137,0,2338,2000
qwen3-embedding_latest,0.97,1.0,0.0145,0.0287,36,0,2439,2000
qwen3-embedding_latest,0.98,1.0,0.0016,0.0032,4,0,2471,2000
qwen3-embedding_latest,0.99,0.0,0.0,0.0,0,0,2475,2000
snowflake-arctic-embed_latest,0.5,0.8473,1.0,0.9173,2475,446,0,1554
snowflake-arctic-embed_latest,0.51,0.8579,1.0,0.9235,2475,410,0,1590
snowflake-arctic-embed_latest,0.52,0.8718,1.0,0.9315,2475,364,0,1636
snowflake-arctic-embed_latest,0.53,0.8855,1.0,0.9393,2475,320,0,1680
snowflake-arctic-embed_latest,0.54,0.8941,0.9996,0.9439,2474,293,1,1707
snowflake-arctic-embed_latest,0.55,0.9045,0.9992,0.9495,2473,261,2,1739
snowflake-arctic-embed_latest,0.56,0.9146,0.9992,0.955,2473,231,2,1769
snowflake-arctic-embed_latest,0.57,0.923,0.998,0.959,2470,206,5,1794
snowflake-arctic-embed_latest,0.58,0.9324,0.9972,0.9637,2468,179,7,1821
snowflake-arctic-embed_latest,0.59,0.9391,0.9968,0.9671,2467,160,8,1840
snowflake-arctic-embed_latest,0.6,0.9469,0.9952,0.9704,2463,138,12,1862
snowflake-arctic-embed_latest,0.61,0.9542,0.9943,0.9739,2461,118,14,1882
snowflake-arctic-embed_latest,0.62,0.9647,0.9927,0.9785,2457,90,18,1910
snowflake-arctic-embed_latest,0.63,0.968,0.9899,0.9788,2450,81,25,1919
snowflake-arctic-embed_latest,0.64,0.9729,0.9871,0.9799,2443,68,32,1932
snowflake-arctic-embed_latest,0.65,0.9791,0.9822,0.9806,2431,52,44,1948
snowflake-arctic-embed_latest,0.66,0.981,0.9798,0.9804,2425,47,50,1953
snowflake-arctic-embed_latest,0.67,0.9841,0.9762,0.9801,2416,39,59,1961
snowflake-arctic-embed_latest,0.68,0.9856,0.9701,0.9778,2401,35,74,1965
snowflake-arctic-embed_latest,0.69,0.9896,0.9624,0.9758,2382,25,93,1975
snowflake-arctic-embed_latest,0.7,0.992,0.9519,0.9715,2356,19,119,1981
snowflake-arctic-embed_latest,0.71,0.994,0.9406,0.9666,2328,14,147,1986
snowflake-arctic-embed_latest,0.72,0.9948,0.9244,0.9583,2288,12,187,1988
snowflake-arctic-embed_latest,0.73,0.9951,0.9091,0.9502,2250,11,225,1989
snowflake-arctic-embed_latest,0.74,0.996,0.8958,0.9432,2217,9,258,1991
snowflake-arctic-embed_latest,0.75,0.9959,0.88,0.9344,2178,9,297,1991
snowflake-arctic-embed_latest,0.76,0.9972,0.8618,0.9246,2133,6,342,1994
snowflake-arctic-embed_latest,0.77,0.9986,0.8384,0.9115,2075,3,400,1997
snowflake-arctic-embed_latest,0.78,0.9985,0.8097,0.8942,2004,3,471,1997
snowflake-arctic-embed_latest,0.79,0.999,0.7729,0.8715,1913,2,562,1998
snowflake-arctic-embed_latest,0.8,0.9995,0.7394,0.85,1830,1,645,1999
snowflake-arctic-embed_latest,0.81,1.0,0.7002,0.8237,1733,0,742,2000
snowflake-arctic-embed_latest,0.82,1.0,0.6614,0.7962,1637,0,838,2000
snowflake-arctic-embed_latest,0.83,1.0,0.6145,0.7613,1521,0,954,2000
snowflake-arctic-embed_latest,0.84,1.0,0.5693,0.7255,1409,0,1066,2000
snowflake-arctic-embed_latest,0.85,1.0,0.5127,0.6779,1269,0,1206,2000
snowflake-arctic-embed_latest,0.86,1.0,0.4517,0.6223,1118,0,1357,2000
snowflake-arctic-embed_latest,0.87,1.0,0.3939,0.5652,975,0,1500,2000
snowflake-arctic-embed_latest,0.88,1.0,0.3341,0.5009,827,0,1648,2000
snowflake-arctic-embed_latest,0.89,1.0,0.2756,0.4321,682,0,1793,2000
snowflake-arctic-embed_latest,0.9,1.0,0.2214,0.3626,548,0,1927,2000
snowflake-arctic-embed_latest,0.91,1.0,0.1644,0.2824,407,0,2068,2000
snowflake-arctic-embed_latest,0.92,1.0,0.1135,0.2039,281,0,2194,2000
snowflake-arctic-embed_latest,0.93,1.0,0.0731,0.1363,181,0,2294,2000
snowflake-arctic-embed_latest,0.94,1.0,0.0376,0.0724,93,0,2382,2000
snowflake-arctic-embed_latest,0.95,1.0,0.0186,0.0365,46,0,2429,2000
snowflake-arctic-embed_latest,0.96,1.0,0.0057,0.0112,14,0,2461,2000
snowflake-arctic-embed_latest,0.97,1.0,0.002,0.004,5,0,2470,2000
snowflake-arctic-embed_latest,0.98,0.0,0.0,0.0,0,0,2475,2000
snowflake-arctic-embed_latest,0.99,0.0,0.0,0.0,0,0,2475,2000
